frame_idx,timestamp_s,track_id,range_m,range_rate_m_s,confirmed
14104,29.9510,87,0.3546,-0.0330,1
14105,29.9524,87,0.3546,-0.0330,1
14106,29.9539,87,0.3546,-0.0330,1
14107,29.9568,87,0.3546,-0.0330,1
14108,29.9597,87,0.3546,-0.0330,1
14109,29.9625,87,0.3546,-0.0330,1
14110,29.9654,87,0.3546,-0.0330,1
14111,29.9678,87,0.3546,-0.0330,1
14112,29.9703,87,0.3546,-0.0330,1
14113,29.9727,87,0.3546,-0.0330,1
14114,29.9751,87,0.3546,-0.0330,1
14115,29.9759,87,0.3546,-0.0330,1
14116,29.9767,87,0.3546,-0.0330,1
14117,29.9785,87,0.3546,-0.0330,1
14118,29.9802,87,0.3546,-0.0330,1
14119,29.9819,87,0.3546,-0.0330,1
14120,29.9837,87,0.3546,-0.0330,1
14121,29.9866,87,0.3546,-0.0330,1
14132,30.0072,88,0.3375,-0.0006,1
14133,30.0089,88,0.3375,-0.0006,1
14134,30.0106,88,0.3375,-0.0006,1
14135,30.0123,88,0.3375,-0.0006,1
14136,30.0140,88,0.3375,-0.0006,1
14817,31.4379,96,0.7124,-0.0022,1
14818,31.4385,96,0.7124,-0.0022,1
14819,31.4391,96,0.7124,-0.0022,1
14820,31.4396,96,0.7124,-0.0022,1
14821,31.4402,96,0.7124,-0.0022,1
14827,31.4883,97,0.7613,-0.0051,1
14828,31.4906,97,0.7613,-0.0051,1
14829,31.4929,97,0.7613,-0.0051,1
14830,31.4953,97,0.7613,-0.0051,1
14831,31.4978,97,0.7613,-0.0051,1
14832,31.5003,97,0.7613,-0.0051,1
14833,31.5028,97,0.7613,-0.0051,1
14834,31.5052,97,0.7613,-0.0051,1
14835,31.5059,97,0.7613,-0.0051,1
14836,31.5065,97,0.7613,-0.0051,1
14837,31.5071,97,0.7613,-0.0051,1
14838,31.5077,97,0.7613,-0.0051,1
14839,31.5123,97,0.7613,-0.0051,1
14840,31.5170,97,0.7613,-0.0051,1
14841,31.5216,97,0.7613,-0.0051,1
14842,31.5262,97,0.7613,-0.0051,1
14843,31.5269,97,0.7613,-0.0051,1
14844,31.5275,97,0.7613,-0.0051,1
14845,31.5281,97,0.7613,-0.0051,1
14846,31.5287,97,0.7613,-0.0051,1
14947,31.7280,98,0.4125,0.0003,1
14948,31.7303,98,0.4125,0.0003,1
14949,31.7327,98,0.4125,0.0003,1
14950,31.7351,98,0.4125,0.0003,1
14951,31.7376,98,0.4125,0.0003,1
15289,32.4886,99,0.6445,0.0547,1
15290,32.4906,99,0.6445,0.0547,1
15291,32.4927,99,0.6445,0.0547,1
