frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
883,8.764029,13,1.95,367.579407,304.993493,0.5178
883,8.764029,15,2.25,110.523369,95.528483,-0.8594
904,8.965047,15,2.25,426.281586,385.094614,0.5364
911,9.034393,17,2.55,116.224205,99.106507,0.4757
926,9.174094,16,2.4,389.937958,321.387024,0.6888
926,9.174094,18,2.7,104.83593,86.187111,0.5126
927,9.183928,18,2.7,104.873108,91.580849,0.7495
928,9.193761,17,2.55,436.459381,331.205249,0.7224
933,9.242907,19,2.85,87.337532,80.866801,0.2763
936,9.272938,15,2.25,311.761017,307.777633,0.4766
988,9.794427,17,2.55,270.242371,235.966275,0.9545
989,9.80497,17,2.55,258.064514,251.590885,0.9088
991,9.826056,20,3.0,108.178932,102.359181,0.9558
997,9.882247,20,3.0,106.651535,101.508876,-1.1179
999,9.898727,20,3.0,94.796196,87.402532,0.739
1003,9.945257,18,2.7,305.789337,298.131913,0.4972
1008,9.982411,18,2.7,394.857605,374.759634,0.4
1008,9.982411,20,3.0,104.322845,82.273697,0.144
1009,9.992561,18,2.7,502.970551,490.273751,0.4541
1009,9.992561,20,3.0,136.086639,73.234963,0.1424
1010,10.002711,19,2.85,503.699036,363.338108,0.4693
1010,10.002711,21,3.15,129.106659,114.390554,0.1527
1011,10.012861,20,3.0,434.376465,97.842498,0.4767
1018,10.083343,21,3.15,102.089241,92.292091,0.3447
1025,10.160923,18,2.7,523.329407,416.556336,0.5604
1026,10.173544,18,2.7,564.426331,404.147425,0.5737
1026,10.173544,20,3.0,150.390976,105.460613,0.3151
1027,10.180847,18,2.7,537.147522,441.665917,0.6064
1027,10.180847,20,3.0,149.477325,124.998756,0.2097
1028,10.18815,18,2.7,497.641998,341.125722,0.6688
1031,10.214826,19,2.85,573.37561,421.300781,0.7411
1032,10.223719,19,2.85,713.59198,672.278505,0.6803
1033,10.23367,21,3.15,156.207367,144.987459,0.4987
1035,10.253572,19,2.85,674.766602,548.822603,0.6557
1051,10.413761,20,3.0,513.963989,457.445219,0.6097
1053,10.436063,20,3.0,640.288757,514.708513,0.6495
1054,10.44822,20,3.0,733.773132,593.234645,0.6249
1055,10.460378,20,3.0,834.969543,569.121379,0.6256
1055,10.460378,22,3.3,249.876373,180.717486,0.4589
1056,10.472535,20,3.0,819.91748,669.61723,0.5662
1056,10.472535,22,3.3,247.503586,190.640394,-0.2999
1057,10.478514,22,3.3,201.962494,156.867229,0.301
1067,10.579411,20,3.0,529.581055,526.681637,0.5271
1067,10.579411,22,3.3,159.488419,120.195123,0.4917
1068,10.583829,22,3.3,209.74791,194.453448,0.513
1069,10.594182,20,3.0,712.787476,667.566931,0.574
1071,10.614887,20,3.0,674.711975,558.775735,0.71
1072,10.62524,20,3.0,853.052734,732.211577,0.642
1072,10.62524,22,3.3,271.608826,254.814469,0.5077
1073,10.634923,20,3.0,975.219177,762.87476,0.6066
1073,10.634923,22,3.3,311.286346,289.814598,0.6385
1074,10.644606,20,3.0,931.805115,904.896122,0.6153
1074,10.644606,22,3.3,316.218445,286.77195,0.5768
1076,10.663972,22,3.3,604.815796,198.747226,0.6431
1078,10.683501,21,3.15,664.485901,582.034575,0.7371
1081,10.721504,22,3.3,586.80188,448.677842,0.772
1096,10.874877,25,3.75,164.971939,155.180062,1.1179
1104,10.94564,22,3.3,310.19696,260.445975,0.9826
1129,11.196415,25,3.75,180.749817,135.356798,0.3247
1135,11.266578,23,3.45,504.612122,466.969451,0.3631
1138,11.289371,23,3.45,497.855896,439.962101,0.4273
1138,11.289371,25,3.75,220.783661,199.17964,0.178
1142,11.325292,23,3.45,496.223022,481.493502,0.5877
1144,11.340109,23,3.45,509.842316,424.94032,0.5996
1181,11.703254,31,4.65,284.592865,271.868783,-0.052
1207,11.953164,27,4.05,215.411407,215.362273,0.0935
1268,12.56238,26,3.9,170.24794,109.626039,-0.9213
1269,12.572575,26,3.9,181.897858,175.393464,-0.674
1281,12.692029,25,3.75,193.629471,148.430362,-0.94
1282,12.704927,22,3.3,445.267914,408.234104,-0.6725
1282,12.704927,24,3.6,215.496124,152.560756,-0.6445
1283,12.714642,22,3.3,463.300812,390.977312,-0.6448
1283,12.714642,25,3.75,264.965271,199.497586,-0.7899
1286,12.743788,22,3.3,555.725281,371.299132,-0.5926
1286,12.743788,24,3.6,249.76799,177.696345,-0.3894
1287,12.74818,22,3.3,577.218201,401.751926,-0.5051
1290,12.778118,25,3.75,170.32988,164.945156,-0.7346
1293,12.811558,22,3.3,541.687622,467.73709,1.041
1303,12.912474,22,3.3,482.550964,480.553286,-1.0348
1303,12.912474,24,3.6,282.984833,155.111718,-0.9547
1304,12.919538,24,3.6,283.407257,256.088294,-0.5202
1305,12.926602,22,3.3,551.34491,474.178891,-0.7675
1317,13.043122,23,3.45,318.014374,311.319388,-0.5383
1320,13.072651,23,3.45,312.270508,275.051088,-1.017
1325,13.123056,21,3.15,500.664215,487.38855,-0.9432
1325,13.123056,23,3.45,248.227234,219.405488,1.09
1326,13.133098,23,3.45,240.928955,233.231181,-0.7775
1328,13.15244,23,3.45,236.064713,234.519922,1.0963
1357,13.442926,19,2.85,695.05072,600.730144,-0.9491
1357,13.442926,21,3.15,367.822998,313.344107,-1.1206
1360,13.473922,20,3.0,401.629272,252.38085,0.4414
1370,13.574653,21,3.15,258.007263,204.206642,-0.6544
1373,13.605416,20,3.0,268.063934,219.423705,-0.9437
1374,13.615331,18,2.7,607.726807,577.204008,-0.507
1374,13.615331,20,3.0,374.368408,352.368806,-0.7935
1375,13.625246,20,3.0,503.491882,455.497003,-0.7688
1376,13.635161,18,2.7,860.732239,644.506746,-0.8941
1376,13.635161,20,3.0,519.674683,363.008703,-0.5681
1377,13.642686,20,3.0,570.089966,387.448762,0.2569
1378,13.650212,20,3.0,478.215118,214.119396,0.303
1379,13.661448,20,3.0,359.692871,269.780577,-0.3118
1380,13.672685,20,3.0,351.697845,220.339955,-0.4936
1381,13.683922,20,3.0,303.430267,173.51852,-0.8705
1388,13.752546,19,2.85,297.575989,283.945438,-0.5822
1395,13.813504,19,2.85,257.442871,238.399467,-0.0151
1396,13.823305,19,2.85,338.124817,169.288657,-0.6535
1397,13.8331,17,2.55,576.462463,432.557521,-1.0334
1397,13.8331,19,2.85,345.969208,189.260521,1.1363
1400,13.863402,19,2.85,232.238785,223.703743,1.1245
1401,13.873655,19,2.85,395.218781,315.129224,-0.8404
1402,13.883909,19,2.85,464.299774,444.933465,0.1651
1403,13.894073,18,2.7,538.758728,499.338255,0.6057
1404,13.904236,17,2.55,910.06781,843.169881,-1.0982
1404,13.904236,19,2.85,495.770355,277.734736,-0.5091
1407,13.933688,16,2.4,960.175415,790.667277,-1.1279
1408,13.942812,18,2.7,419.189301,310.256902,-0.9037
1409,13.953409,18,2.7,366.050354,330.590615,-0.4836
1410,13.964005,19,2.85,307.071228,229.310974,-0.7542
1411,13.974602,17,2.55,864.513,583.604767,-0.8637
1411,13.974602,19,2.85,404.488373,337.003535,-0.9702
1412,13.985199,17,2.55,875.462646,771.329001,-0.8319
1412,13.985199,20,3.0,366.073975,325.096036,-0.9501
1413,13.994917,17,2.55,704.086731,584.417676,-0.5549
1416,14.024069,15,2.25,1478.666992,1281.339859,-0.5908
1416,14.024069,17,2.55,682.448425,348.741712,-0.9422
1417,14.033341,15,2.25,1301.432007,1188.73734,-0.7216
1417,14.033341,18,2.7,718.080261,436.664389,-0.2517
1418,14.042613,15,2.25,1328.002075,1156.546765,-0.9204
1418,14.042613,18,2.7,761.408691,372.505336,-0.2225
1419,14.05277,19,2.85,249.112823,228.989644,-0.344
1421,14.073085,15,2.25,797.066833,677.438501,1.0492
1421,14.073085,17,2.55,389.730774,239.481405,-0.352
1422,14.083242,15,2.25,1541.924316,1301.915146,-0.4518
1422,14.083242,17,2.55,743.152283,494.149947,-0.3269
1423,14.09359,16,2.4,1012.64502,894.877009,-0.6564
1423,14.09359,18,2.7,610.391968,347.739245,-0.324
1424,14.103938,15,2.25,1095.877319,863.307386,-0.6785
1424,14.103938,17,2.55,587.831909,570.911602,-0.4447
1431,14.172618,15,2.25,704.664673,568.011628,-0.2816
1433,14.192716,17,2.55,560.913391,343.763009,-0.551
1434,14.202715,17,2.55,630.165588,415.080341,-0.4595
1435,14.212714,15,2.25,919.577148,702.291807,-0.6196
1441,14.272598,14,2.1,1261.045654,718.087117,-0.8642
1441,14.272598,16,2.4,657.927002,561.681932,-0.1047
1442,14.282721,14,2.1,1484.987793,1037.854689,-0.7964
1442,14.282721,16,2.4,763.203308,653.048439,-0.487
1443,14.292734,14,2.1,1055.588013,635.407945,-0.9183
1443,14.292734,16,2.4,687.50824,469.380436,-0.69
1444,14.302748,14,2.1,1110.635986,1032.265746,-0.8992
1444,14.302748,16,2.4,655.897949,377.580588,-0.6356
1445,14.312761,16,2.4,543.520142,315.391579,0.777
1446,14.322774,16,2.4,353.708771,232.223679,-0.6965
1449,14.352443,14,2.1,962.128418,866.256145,-0.873
1449,14.352443,16,2.4,526.030762,508.443231,0.833
1450,14.36255,16,2.4,734.670105,541.783555,-0.6986
1451,14.372656,16,2.4,677.939026,658.365003,-0.9185
1452,14.382762,14,2.1,1196.589111,1175.51761,-1.0227
1452,14.382762,16,2.4,733.334717,540.89488,-0.8711
1453,14.392813,14,2.1,1206.153076,1040.524134,-0.9657
1453,14.392813,16,2.4,703.538757,573.309713,0.8856
1454,14.402864,16,2.4,588.676331,585.816527,-0.7748
1457,14.428045,13,1.95,1024.459839,936.368745,-1.0739
1457,14.428045,15,2.25,630.515686,622.150784,-0.5954
1458,14.433125,15,2.25,570.464172,398.407234,-0.8804
1459,14.446041,15,2.25,566.84729,428.573209,-1.0347
1461,14.471872,12,1.8,760.387512,747.241908,-0.9286
1467,14.52882,15,2.25,434.434601,215.998544,-0.2377
1468,14.533776,13,1.95,749.766052,688.876083,-0.9719
1468,14.533776,15,2.25,501.128601,394.355707,0.1824
1469,14.546274,15,2.25,538.751526,450.971211,-0.3407
1470,14.558773,13,1.95,1015.181519,677.900842,-0.8845
1470,14.558773,15,2.25,536.975037,514.93491,0.6577
1472,14.583771,12,1.8,1657.826172,1645.199829,-0.6428
1472,14.583771,14,2.1,722.51416,529.694002,1.1079
1473,14.591618,12,1.8,1600.480835,1323.312794,-0.6494
1473,14.591618,14,2.1,655.785583,445.649659,-0.4748
1474,14.599465,15,2.25,707.36145,427.425741,-0.3514
1475,14.607313,15,2.25,807.297363,533.583879,0.0133
1476,14.61516,12,1.8,1406.3573,1302.939867,-0.6683
1476,14.61516,15,2.25,689.044556,331.378419,0.305
1477,14.623937,15,2.25,417.375458,350.67316,-0.2913
1480,14.652803,12,1.8,1346.673096,1235.149945,-0.5304
1480,14.652803,14,2.1,598.355164,540.423893,-0.5375
1481,14.662848,12,1.8,1215.34436,1107.896796,-0.5193
1481,14.662848,14,2.1,509.57016,280.698269,0.4086
1485,14.703446,12,1.8,1707.457153,1455.3425,-0.3459
1485,14.703446,14,2.1,875.887695,569.003525,-0.3649
1486,14.71363,12,1.8,1865.808594,1381.545043,-0.3609
1486,14.71363,14,2.1,889.166321,531.393638,-0.4175
1487,14.723413,12,1.8,1736.19104,1572.600287,-0.3751
1487,14.723413,14,2.1,718.21875,546.43746,-0.6055
1488,14.733196,12,1.8,1463.169922,1076.659974,-0.3963
1489,14.743479,11,1.65,1363.327271,970.103243,-0.3402
1490,14.753762,11,1.65,1227.834961,824.038477,-0.347
1491,14.764045,11,1.65,1189.613403,1169.652298,-0.3264
1493,14.784197,14,2.1,524.69812,401.054543,-1.0797
1494,14.794066,13,1.95,635.950623,525.772726,-0.8199
1497,14.823282,11,1.65,1594.004028,1363.971053,-0.6488
1498,14.83276,11,1.65,2120.422119,1492.295001,-0.5434
1498,14.83276,14,2.1,643.786316,493.057297,-0.4286
1499,14.843188,11,1.65,1943.675171,797.53242,-0.4502
1500,14.853616,12,1.8,1128.573486,853.666202,-0.7524
1501,14.864044,12,1.8,2071.652832,1116.681511,-0.76
1501,14.864044,14,2.1,489.366943,397.060494,-0.1894
1502,14.874472,12,1.8,2672.092773,1510.14327,-0.4816
1502,14.874472,14,2.1,758.141296,473.854687,-0.2486
1503,14.884112,12,1.8,2370.599365,680.37643,-0.5296
1504,14.893751,11,1.65,2751.410156,2543.898596,-0.6407
1504,14.893751,13,1.95,932.886414,763.826613,-0.6312
1505,14.903391,11,1.65,2634.994141,1795.242066,-0.6408
1505,14.903391,13,1.95,1041.880981,747.46517,-0.3873
1513,14.982804,13,1.95,725.797729,667.888095,0.4602
1523,15.083649,11,1.65,1949.521606,1721.25042,0.1606
1523,15.083649,13,1.95,947.118591,706.902581,0.7213
1524,15.093393,13,1.95,776.876282,766.661034,-1.0089
1526,15.11288,13,1.95,843.757141,754.14548,0.221
1527,15.122484,11,1.65,1196.2052,1179.646614,0.0198
1527,15.122484,13,1.95,681.459656,662.518043,0.2667
1530,15.153144,13,1.95,453.547882,428.952136,0.0162
1534,15.193879,13,1.95,544.648071,430.342484,0.828
1535,15.203718,13,1.95,527.054199,397.053036,0.5913
1536,15.213558,10,1.5,776.362488,723.512747,0.0148
1536,15.213558,13,1.95,488.872559,332.791045,0.336
1537,15.222871,11,1.65,1030.814697,783.200849,0.0532
1537,15.222871,13,1.95,576.237366,352.002063,0.3232
1538,15.232183,11,1.65,1340.349609,880.657829,-0.0001
1538,15.232183,13,1.95,693.89325,386.661196,-0.2416
1539,15.242398,11,1.65,1552.072021,992.104458,-0.0972
1539,15.242398,13,1.95,762.654968,402.217117,-0.3952
1540,15.252612,11,1.65,1617.374023,765.889785,-0.1452
1540,15.252612,13,1.95,773.498047,485.637801,-0.454
1541,15.262827,11,1.65,1606.411011,985.464286,-0.1943
1541,15.262827,13,1.95,788.764465,401.28512,-0.1813
1542,15.273041,11,1.65,1746.852051,768.660268,-0.1913
1542,15.273041,13,1.95,883.845825,348.303526,-0.1121
1543,15.300958,11,1.65,1970.105347,791.098694,-0.1828
1543,15.300958,13,1.95,995.487061,477.695447,-0.1161
1544,15.328874,11,1.65,2196.318604,1338.229024,-0.1787
1544,15.328874,13,1.95,1103.140869,600.030957,-0.0426
1545,15.356791,11,1.65,2448.195068,1401.905524,-0.1663
1545,15.356791,13,1.95,1202.338257,727.194326,-0.2002
1546,15.384707,11,1.65,2732.656982,1912.81223,-0.148
1546,15.384707,13,1.95,1322.444458,743.745161,-0.2148
1547,15.387275,11,1.65,2852.319336,1692.577208,-0.14
1547,15.387275,13,1.95,1443.299927,646.415915,-0.2377
1548,15.389844,11,1.65,2623.442871,1537.578474,-0.1202
1548,15.389844,13,1.95,1432.520264,576.540922,-0.0985
1549,15.390807,11,1.65,2179.408447,1677.090663,-0.142
1549,15.390807,13,1.95,1265.649414,565.802006,-0.0847
1550,15.391771,10,1.5,1887.63855,1718.869789,-0.1807
1550,15.391771,13,1.95,1011.492493,521.095592,-0.2016
1551,15.392734,10,1.5,2001.165771,1707.199588,-0.1714
1551,15.392734,13,1.95,930.688416,497.89708,-0.2953
1552,15.393698,11,1.65,2182.070068,1429.719132,-0.1116
1552,15.393698,13,1.95,1009.839722,460.291943,-0.0379
1553,15.3972,10,1.5,2171.202148,1631.113465,-0.0947
1553,15.3972,13,1.95,1033.546143,650.920853,-0.0901
1554,15.400702,10,1.5,1910.568481,1479.034704,-0.1297
1554,15.400702,13,1.95,902.271362,673.12343,-0.1009
1555,15.404205,10,1.5,1813.484863,1216.428107,-0.1585
1555,15.404205,12,1.8,772.916016,516.136768,0.0535
1556,15.407707,10,1.5,2034.310425,1032.213209,-0.1381
1556,15.407707,13,1.95,834.723633,388.191795,-0.0834
1557,15.424969,11,1.65,2292.68335,1423.103377,-0.0845
1557,15.424969,13,1.95,1046.460815,451.214423,-0.1047
1558,15.442231,11,1.65,2330.669189,1707.175837,-0.0756
1558,15.442231,13,1.95,1161.362183,673.279713,-0.1623
1559,15.447577,10,1.5,1982.798584,1548.394487,-0.1141
1559,15.447577,13,1.95,1060.402466,754.786573,-0.0855
1560,15.452923,10,1.5,1794.209595,1694.732487,-0.162
1560,15.452923,13,1.95,862.279907,485.040031,-0.1438
1561,15.458269,10,1.5,1766.789795,1642.880191,-0.1256
1561,15.458269,12,1.8,735.970215,706.994735,-0.2942
1562,15.463615,13,1.95,662.955261,407.113095,-0.1139
1563,15.473565,13,1.95,641.578918,425.885428,0.0641
1564,15.483515,13,1.95,566.547485,551.685573,0.0284
1569,15.535577,13,1.95,292.678436,212.942999,0.0673
1570,15.5483,13,1.95,416.18634,316.320038,0.1992
1571,15.561023,13,1.95,466.535217,413.097068,0.2525
1572,15.573747,13,1.95,474.584534,317.946567,0.2141
1573,15.581491,13,1.95,436.356628,340.236596,0.0956
1574,15.589235,12,1.8,397.911621,314.100131,0.2128
1590,15.742833,11,1.65,1429.259033,1184.758728,0.4096
1591,15.75292,11,1.65,1731.02002,1283.390063,0.4097
1591,15.75292,13,1.95,704.30603,552.767346,0.3461
1592,15.763007,11,1.65,1951.98584,1279.837358,0.4045
1592,15.763007,13,1.95,817.194702,436.369447,0.5876
1593,15.772978,11,1.65,2142.64624,1793.397833,0.4052
1593,15.772978,13,1.95,896.859009,594.439068,0.4672
1594,15.782949,11,1.65,2396.625244,1518.592238,0.3988
1594,15.782949,13,1.95,1054.290771,679.083985,0.4747
1595,15.79292,11,1.65,2437.578125,1743.811782,0.3901
1595,15.79292,13,1.95,1182.217285,684.572602,0.4729
1596,15.802891,11,1.65,2347.82373,1764.634556,0.4197
1596,15.802891,13,1.95,1203.074341,852.522059,0.5286
1597,15.812604,11,1.65,2146.913086,1152.258532,0.4462
1597,15.812604,13,1.95,1190.713379,736.177886,0.5435
1598,15.822318,11,1.65,1738.39917,1159.733606,0.5218
1598,15.822318,13,1.95,1066.363647,837.691904,0.508
1599,15.833079,11,1.65,1522.19458,1053.779206,0.5807
1599,15.833079,13,1.95,966.564392,850.694832,0.5508
1600,15.843841,11,1.65,1220.17334,1210.997822,0.6783
1600,15.843841,13,1.95,783.670898,725.771581,0.4633
1601,15.854602,11,1.65,1346.266724,1255.49665,0.7064
1601,15.854602,13,1.95,661.467407,586.238966,0.6849
1602,15.865364,11,1.65,1618.583618,1188.782847,0.6611
1603,15.875145,11,1.65,1563.411499,1149.724279,0.6185
1603,15.875145,13,1.95,751.601257,653.670768,0.7735
1604,15.884927,11,1.65,1419.472046,867.553246,0.6538
1604,15.884927,13,1.95,713.197937,598.636713,0.5293
1605,15.894709,13,1.95,612.518494,568.374594,0.8708
1613,15.974696,12,1.8,1088.724854,712.976333,0.82
1613,15.974696,14,2.1,459.786652,346.354811,0.9095
1615,15.993388,12,1.8,975.530945,816.620122,0.9857
1616,16.002734,14,2.1,462.604401,436.905606,0.6657
