alg,clutter_mode,pfa,num_ref,num_guard,cluster_gap,merge_tol,nms_sep,max_peaks,multi_pct,multi_frames,total_peaks,peaks_per_frame,median_tap_sep,sep_pass_pct
OS,max_path,0.02,4,1,0,0,0,4,0.0,0,31,0.0013420494393696697,0,0.0
OS,mti,0.02,6,2,1,2,0,6,3.1689683536083812,732,10675,0.4621412182345556,3,100.0
GO,mean,0.02,4,1,1,0,0,4,0.5541365427074765,128,1214,0.05255638772241222,1,25.78125
OS,mti,0.02,6,1,0,1,0,4,7.545781202649465,1743,10815,0.4682020866704186,2,100.0
GO,mean,0.05,4,2,0,2,2,6,4.121390536386857,952,11593,0.5018831984068575,14,100.0
CA,max_path,0.02,4,1,1,2,0,4,0.567124117927183,131,8345,0.3612710506948353,25,100.0
GO,mti,0.01,8,2,0,0,1,4,1.7619810381401793,407,2317,0.10030737261353305,2,92.87469287469287
GO,max_path,0.05,8,2,1,2,1,4,1.1429066193341704,264,7840,0.33940863240832936,33,100.0
GO,mean,0.05,6,2,1,1,2,6,24.20884020953288,5592,17971,0.7779990475778172,2,100.0
OS,mean,0.005,4,2,1,2,1,4,0.0,0,51,0.0022078877873501017,0,0.0
GO,mean,0.005,8,2,0,2,1,4,0.09091302653794536,21,2573,0.11139010346768258,3,100.0
GO,mean,0.05,6,2,1,0,0,4,29.966665223602753,6922,19377,0.8388674834408416,2,80.8863512778684
CA,mti,0.02,4,2,0,0,0,4,16.19550629897398,3741,16824,0.7283432183211395,3,92.6726162517614
GO,mean,0.005,4,2,0,1,0,4,0.0,0,159,0.0068834148664444345,0,0.0
GO,mti,0.01,4,1,0,1,0,6,0.0,0,19,0.0008225464305814104,0,0.0
CA,max_path,0.05,4,1,0,2,0,4,16.65440062340361,3847,21451,0.9286549201264124,19,100.0
OS,mean,0.01,4,1,0,2,0,4,0.0,0,28,0.0012121736871726048,0,0.0
GO,max_path,0.01,6,2,0,2,2,4,0.0,0,2913,0.12610935538334994,0,0.0
CA,mti,0.05,8,2,0,0,1,4,41.58188666176025,9605,29521,1.2780206935365168,3,90.65200973399345
GO,mti,0.05,4,2,1,0,2,6,6.303303173297546,1456,8835,0.38248409022035584,2,100.0
GO,max_path,0.05,8,1,1,1,1,4,1.3160742889302568,304,8376,0.36261310013420495,35,100.0
GO,mti,0.005,6,1,1,1,2,4,0.0,0,43,0.001861552448157929,0,0.0
OS,mean,0.05,4,1,1,0,1,6,3.298844105805446,762,4061,0.17580847655742673,2,50.98039215686274
OS,mean,0.01,6,1,0,2,1,4,1.8442356811983203,426,9442,0.40876228408156196,3,100.0
OS,mti,0.005,8,1,0,1,1,4,6.576042252911382,1519,9965,0.4314039568812503,2,100.0
CA,max_path,0.05,6,1,1,0,2,6,19.650201307415905,4539,23654,1.024027014156457,20,100.0
OS,max_path,0.05,4,2,1,1,2,4,0.19914282003549938,46,5392,0.23343001861552448,34,100.0
CA,max_path,0.01,6,2,0,2,1,4,0.43724836573011816,101,10835,0.46906792501839906,34,100.0
OS,mean,0.02,8,1,0,2,1,6,32.581497034503656,7526,30513,1.320966275596346,6,98.57614762501424
GO,mean,0.01,8,2,0,1,2,6,1.731676695960864,400,5151,0.22299666652236028,2,100.0
CA,max_path,0.05,4,1,0,2,2,6,16.65440062340361,3847,21451,0.9286549201264124,19,100.0
CA,max_path,0.005,8,1,1,0,1,6,0.0432919173990216,10,4423,0.19148015065587254,34,100.0
CA,mean,0.005,4,2,0,1,0,6,9.818606866098099,2268,10121,0.43815749599549764,2,100.0
CA,mean,0.02,8,1,1,0,0,6,30.070565825360404,6946,21025,0.9102125633144292,2,74.00196105897184
OS,mti,0.02,4,1,0,1,2,6,0.0,0,69,0.0029871423005324907,0,0.0
CA,mti,0.01,8,1,0,0,1,4,7.350967574353868,1698,7526,0.3258149703450366,2,90.0117508813161
GO,max_path,0.02,4,2,1,2,1,4,0.01731676695960864,4,1570,0.06796831031646391,34,100.0
GO,mti,0.005,4,2,0,1,2,6,0.0,0,42,0.0018182605307589072,0,0.0
GO,max_path,0.01,8,2,1,2,2,4,0.00432919173990216,1,988,0.04277241439023334,36,100.0
GO,mean,0.005,8,2,1,0,0,6,0.3679812978916836,85,2637,0.11416078618121997,2,94.11764705882354
CA,mean,0.01,8,1,1,1,1,4,14.117494263820944,3261,13825,0.5985107580414737,2,100.0
CA,mti,0.01,4,1,1,0,2,4,0.9827265249577903,227,2728,0.11810035066453094,2,100.0
CA,max_path,0.05,6,1,0,0,1,6,19.650201307415905,4539,23655,1.024070306073856,20,100.0
CA,mti,0.005,8,1,0,1,2,4,2.787999480496991,644,4276,0.18511623879821637,2,100.0
GO,mean,0.05,8,2,0,0,2,4,18.386077319364475,4247,17857,0.7730637689943287,2,100.0
GO,mti,0.05,8,1,0,1,2,6,13.312264600199143,3075,12155,0.5262132559851076,2,100.0
CA,max_path,0.005,6,2,0,2,0,4,0.11688817697735833,27,8565,0.37079527252262,34,100.0
OS,mean,0.02,4,1,1,0,1,4,0.00432919173990216,1,182,0.007879128966621931,2,100.0
GO,max_path,0.01,6,1,0,1,0,4,0.0,0,810,0.035066453093207495,0,0.0
GO,mean,0.005,4,1,0,2,1,6,0.0,0,5,0.00021645958699510802,0,0.0
GO,mti,0.01,8,1,1,0,2,4,0.5714533096670852,132,1324,0.0573184986363046,2,100.0
OS,max_path,0.05,6,2,1,0,0,4,16.0309970128577,3703,22821,0.987964846963072,25,100.0
CA,mti,0.01,6,2,0,2,0,6,1.5801549850642884,365,7688,0.33282826096367807,3,100.0
OS,mean,0.05,4,1,0,2,0,4,0.216459586995108,50,3346,0.1448547556171263,11,100.0
CA,max_path,0.02,4,1,1,0,1,6,0.567124117927183,131,8345,0.3612710506948353,25,100.0
OS,max_path,0.02,8,1,1,2,2,6,12.775444824451275,2951,24161,1.045976016277761,13,100.0
CA,max_path,0.02,4,1,1,0,0,6,0.567124117927183,131,8345,0.3612710506948353,25,100.0
CA,mean,0.01,8,2,0,1,2,4,16.121910039395644,3724,15947,0.6903762067621975,2,100.0
GO,max_path,0.02,8,1,0,0,1,4,0.06493787609853241,15,2644,0.11446382960301311,34,100.0
OS,mean,0.01,6,2,0,0,2,4,22.615697649248887,5224,18039,0.7809428979609507,2,100.0
CA,max_path,0.005,8,1,1,1,0,4,0.0432919173990216,10,4423,0.19148015065587254,34,100.0
OS,max_path,0.01,8,2,1,2,1,4,5.524048660115157,1276,19796,0.8570067968310316,11,100.0
CA,mti,0.05,4,2,1,0,2,6,52.608338023291054,12152,38476,1.6656998138447552,13,100.0
GO,mean,0.01,8,1,1,2,1,6,0.19914282003549938,46,3486,0.1509156240529893,3,100.0
OS,max_path,0.005,6,2,0,2,0,4,0.10390060175765185,24,8623,0.37330620373176326,27,100.0
